articulum,min_price,brands
003519185F,999,"VAG, VOLKSWAGEN"
022103515B,275,VAG
02T311206,11,"SEAT, SKODA, VOLKSWAGEN, VAG, AUDI"
03-F121004E,900,"SKODA, VAG"
036107065ET,500,"SKODA, SEAT, VAG, VOLKSWAGEN"
03C103935,500,"VOLKSWAGEN, VAG"
03C105209AQ,750,"VOLKSWAGEN, AUDI, SKODA, VAG"
03C109507AD,300,"VOLKSWAGEN, VAG, AUDI"
03C121004K,946,"VOLKSWAGEN, VAG, AUDI"
03C121008H,400,"VOLKSWAGEN, VAG"
03C121008J,450,"SKODA, VOLKSWAGEN, VAG"
03C127026C,930,"VAG, VOLKSWAGEN"
03F105266,450,"SKODA, LUK"
03H103429L,325,"RENAULT, VAG"
03H109465,450,"VOLKSWAGEN, AUDI, VAG"
03H109503,200,"VOLKSWAGEN, AUDI, VAG"
03H109507,936,"AUDI, VOLKSWAGEN, VAG"
03H109569,550,"VOLKSWAGEN, AUDI, VAG"
03L103171A,100,"VAG, VOLKSWAGEN, BMW, FIAT"
03L130277Q,700,"BOSCH, AUDI, SEAT, SKODA, VOLKSWAGEN"
03L131512BB,200,"VOLKSWAGEN, AUDI, VAG, SEAT, SKODA"
03L198119F,100,"VOLKSWAGEN, AUDI, SKODA"
03L905061H,525,AUDI
03N115389A,325,"SKODA, VOLKSWAGEN, VAG"
04E109088AN,500,"VOLKSWAGEN, SKODA, VAG"
04E906455D,500,"AUDI, VOLKSWAGEN, VAG"
04L121011P,680,"SKODA, AUDI, VAG, VOLKSWAGEN"
04L130277AL,500,"VAG, AUDI, BOSCH, SKODA, VOLKSWAGEN"
058109088K,299,"VAG, AUDI, SEAT, SKODA, VOLKSWAGEN"
059103161T,340,
059103469DE,600,"VAG, AUDI"
059103470AS,111,"AUDI, FERRARI, LAMBORGHINI"
059130277ED,100,"VOLKSWAGEN, VAG"
059903133R,769,"AUDI, VAG"
06E103472L,655,"AUDI, VAG"
06E103547F,860,"AUDI, VAG, SEAT, SKODA"
06E109465,936,"AUDI, VAG"
06E115243H,279,"AUDI, VAG, SKODA, VOLKSWAGEN, PORSCHE"
06E115405K,280,AUDI
06E121018D,500,"VOLKSWAGEN, AUDI, VAG"
06E121045BB,888,"AUDI, VAG, VOLKSWAGEN"
06E121111AL,400,"AUDI, VAG"
06E121111G,500,AUDI
06E903133AC,450,"AUDI, VAG"
06E903133AE,400,"AUDI, VAG"
06H103269H,222,"SKODA, AUDI, VAG, SEAT"
06H107065DM,450,"AUDI, VAG"
06H115105GC,902,"AUDI, SKODA"
06H127025K,300,"AUDI, VOLKSWAGEN, SKODA, BOSCH, SEAT"
06H145710D,500,"VOLKSWAGEN, VAG"
06H198205N,800,"VAG, VOLKSWAGEN, AUDI, SEAT, SKODA"
06H906036Q,500,"AUDI, VAG, BOSCH"
06J133201AR,750,"VOLKSWAGEN, AUDI, SEAT, SKODA, VAG"
06K103171P,450,"VAG, VOLKSWAGEN"
06K103269F,930,"SKODA, VOLKSWAGEN, VAG"
06K103319A,200,"VAG, AUDI, SKODA"
06K103495T,900,"VAG, SKODA, AUDI"
06K906262D,900,"SKODA, AUDI, VAG"
06L103144K,250,VAG
06L109259D,599,"AUDI, VOLKSWAGEN, VAG"
06L121111,750,"AUDI, SKODA"
096323981P,11,"SKODA, VOLKSWAGEN, INA, NSK, SKF"
09D300038K,700,"VOLKSWAGEN, VAG"
09M325429,360,"VOLKSWAGEN, VAG"
09P321370,550,VAG
0AJ311206E,10,"VAG, SKODA, VOLKSWAGEN, AUDI, SEAT"
0AM198140,10,"LUK, VAG"
0B5325429E,595,"AUDI, VAG"
0B5927321F,10,"AUDI, PORSCHE"
0BH398029B,100,"VAG, VOLKSWAGEN, AUDI, SKODA"
11537509227,836,BMW
13537585261,800,BMW
1K0615301M,500,"VOLKSWAGEN, VAG"
1K0919051CJ,450,"VOLKSWAGEN, VAG, SKODA, AUDI"
22204-31020,499,"TOYOTA, LEXUS, ISUZU, SUBARU, SUZUKI"
28373FG000,680,SUBARU
34116799964,650,BMW
3501123XGW02A,500,HAVAL
3AA919051L,144,VOLKSWAGEN
3C0411303T,430,"AUDI, SKODA"
3Q0698451,600,"VOLKSWAGEN, AUDI, SKODA"
3Q0698451J,630,"VOLKSWAGEN, VAG"
3Q0698451L,500,"VOLKSWAGEN, SKODA, AUDI, DELPHI"
415130054,350,"BRP, DOO, SKI DOO, LYNX, RENEGADE"
420887445,494,"DOO, SKI DOO, BRP, LYNX, SKIDOO"
43202JG21A,604,NISSAN
4F0199382BL,999,"AUDI, VAG"
4F0616013,800,AUDI
4G0698151AH,999,"AUDI, ATE, VAG"
4G8880204F,800,"AUDI, VAG"
4H0615601H,900,"AUDI, VAG"
4H0898037,850,"AUDI, VAG"
4K0807065GRU,810,"AUDI, VAG"
4M0127434H,300,"AUDI, FORD"
4M0407505B,800,"AUDI, VAG"
4M0407689C,500,"AUDI, VAG"
4M0407694E,100,"AUDI, VOLKSWAGEN, PORSCHE, VAG"
4M0423812D,810,"AUDI, BENTLEY, VAG"
4M0616005,800,"VAG, AUDI"
4M0698151BL,99,"VAG, AUDI"
4M0821106D,100,AUDI
507032554,600,"BRP, DOO, LYNX, SKI DOO, SUMMIT"
51745A22C60,949,BMW
54501JN00B,360,NISSAN
55502JD00A,10,NISSAN
5658070619B9,990,"SKODA, VAG"
565853653A,450,"SKODA, VAG"
5G-TRONIC,1,"MERCEDES, BENZ, MERCEDES BENZ"
5N0919087H,836,"AUDI, VAG, VOLKSWAGEN"
5Q0121203DE,100,"AUDI, VOLKSWAGEN"
5Q0121251HC,12,"AUDI, SKODA, VOLKSWAGEN"
5Q0413023FH,626,"VOLKSWAGEN, SKODA"
5Q0505235J,100,"VOLKSWAGEN, SKODA, AUDI, SEAT, VAG"
5Q0698151,770,"AUDI, SKODA, VOLKSWAGEN, SEAT"
5TB837015E,665,"VAG, SKODA"
60U831056,50,"VOLKSWAGEN, SKODA"
60U945307A,500,"SKODA, VAG"
6NW009550,440,"FORD, HELLA"
703500875,42,"CAN AM, OUTLANDER, BRP"
710001645,600,"BRP, CAN AM, OUTLANDER, RENEGADE, MAVERICK"
715900326,525,"BRP, CAN AM, OUTLANDER"
760853597AIDJ,540,"VOLKSWAGEN, VAG"
7H0819021A,675,"AUDI, VAG"
7L0407021B,520,AUDI
7L0505375A,270,"VOLKSWAGEN, PORSCHE, VAG, AUDI"
7L0698451H,451,"AUDI, VOLKSWAGEN"
7L0837461F,880,"PORSCHE, VOLKSWAGEN"
7L0919679,500,"VOLKSWAGEN, AUDI, PORSCHE, VAG"
7L8199131F,522,"AUDI, VAG"
7L8407021,354,"AUDI, PORSCHE"
7P0121407B,680,"VOLKSWAGEN, VAG"
