articulum,listings,min_price,median_price,avg_price,max_price,le_1200,le_2000,ratio_median_to_min,fraction_low
A4473265400,59.0,1.0,18200.0,17228.101694915254,48999.0,2.0,2,18200.0,0.03389830508474576
LR023004,14.0,1.0,12800.0,12372.928571428572,23877.0,1.0,1,12800.0,0.07142857142857142
0AM198140,59.0,10.0,36500.0,39430.37288135593,141358.0,4.0,7,3650.0,0.06779661016949153
A0009054907,12.0,10.0,29508.0,53625.83333333333,300000.0,1.0,1,2950.8,0.08333333333333333
5G-TRONIC,200.0,1.0,2850.0,145806.81,7870000.0,44.0,81,2850.0,0.22
0B5927321F,23.0,10.0,24999.0,22545.130434782608,41265.0,1.0,1,2499.9,0.043478260869565216
A1673305500,22.0,100.0,195000.0,223429.54545454544,852700.0,3.0,3,1950.0,0.13636363636363635
A1664606000,85.0,100.0,119000.0,108353.11764705883,362463.0,2.0,2,1190.0,0.023529411764705882
55502JD00A,184.0,10.0,11800.0,13300.070652173912,90000.0,6.0,20,1180.0,0.03260869565217391
LR070246,38.0,12.0,10000.0,10194.421052631578,34350.0,1.0,1,833.3333333333334,0.02631578947368421
