articulum,listings,min_price,median_price,avg_price,max_price,le_1200,le_2000,ratio_median_to_min,fraction_low
7L0505375A,230.0,270.0,1195.0,2228.1565217391303,26250.0,120.0,187,4.425925925925926,0.5217391304347826
A2032700089,23.0,680.0,1670.0,9833.043478260866,40028.0,11.0,13,2.4558823529411766,0.4782608695652174
A2202770998,65.0,400.0,1500.0,6593.676923076923,28600.0,31.0,35,3.75,0.47692307692307695
A6512001770,46.0,540.0,1375.0,3925.347826086957,16200.0,18.0,30,2.5462962962962963,0.391304347826087
06E903133AE,112.0,400.0,1995.0,3484.205357142857,13410.0,38.0,57,4.9875,0.3392857142857143
A1668307201,167.0,480.0,1700.0,4216.341317365269,25500.0,56.0,94,3.5416666666666665,0.33532934131736525
A1663500053,214.0,100.0,1500.0,3036.355140186916,30999.0,71.0,145,15.0,0.3317757009345794
03C109507AD,52.0,300.0,2989.0,3879.5384615384614,9839.0,16.0,22,9.963333333333333,0.3076923076923077
KKB500760,77.0,500.0,2000.0,4266.0649350649355,15000.0,22.0,42,4.0,0.2857142857142857
8M0033407,21.0,700.0,12000.0,18908.333333333332,105000.0,6.0,6,17.142857142857142,0.2857142857142857
