articulum,listings,min_price,median_price,avg_price,max_price,le_1200,le_2000
A4473265400,59,1,18200.0,17228.101694915254,48999,2,2
LR023004,14,1,12800.0,12372.928571428571,23877,1,1
5G-TRONIC,200,1,2850.0,145806.810000000000,7.87E+6,44,81
A0009054907,12,10,29508.0,53625.833333333333,3.0E+5,1,1
55502JD00A,184,10,11800.0,13300.070652173913,9E+4,6,20
A1668850753,128,10,2012.5,7075.7578125000000000,9E+4,30,64
A0074206720,75,10,4500.0,5213.4533333333333333,22000,5,11
0AM198140,59,10,36500.0,39430.372881355932,141358,4,7
A2710300963,31,10,5227.0,7703.8387096774193548,19734,3,6
0B5927321F,23,10,24999.0,22545.130434782609,41265,1,1
0AJ311206E,192,10,7000.0,8023.2395833333333333,30241,4,5
02T311206,183,11,7000.0,8952.7978142076502732,47497,10,12
096323981P,122,11,7000.0,11902.663934426230,35055,7,11
5Q0121251HC,192,12,5800.0,9516.7968750000000000,95000,5,8
LR070246,38,12,10000.0,10194.4210526315789474,34350,1,1
A2139005711,64,15,12000.0,11561.265625000000,47430,1,1
703500875,72,42,2000.0,7333.2777777777777778,129900,16,39
S671090255,55,50,5490.0,9175.9818181818181818,29000,6,20
60U831056,227,50,19000.0,23635.334801762115,111377,2,2
4M0698151BL,41,99,34000.0,112465.243902439024,831600,1,1
A0995002703,202,99,11000.0,16046.633663366337,175000,1,3
A1673237400,103,100,14500.0,25233.330097087379,193600,1,1
A2053308403,95,100,23000.0,27107.915789473684,95000,1,1
5Q0505235J,156,100,13000.0,19942.455128205128,3.8E+5,1,2
A2053304107,70,100,28500.0,42190.928571428571,314134,1,1
5Q0121203DE,129,100,16000.0,33332.782945736434,407000,1,1
4M0821106D,142,100,18000.0,31270.091549295775,218984,1,2
03L103171A,41,100,5500.0,11117.024390243902,141300,6,7
A1673305500,22,100,195000.0,223429.545454545455,852700,3,3
03L198119F,98,100,17430.0,20291.489795918367,67999,1,1
A0084201820,64,100,5063.5,7015.4062500000000000,28000,2,10
BMW7-G11,276,100,4036.5,93598.380434782609,9.00E+6,64,97
