samples,min_raw,median_price,q1_price,avg_price,max_price,fraction_low,low_threshold,low_count,normal_min,decision,cutoff,articulum
59,10.0,36500.0,8775.0,39430.372881355936,141358.0,0.3898305084745763,14600.0,23,10.0,stable_low_market,,0AM198140
55,50.0,5490.0,1700.0,9175.981818181817,29000.0,0.36363636363636365,2196.0,20,50.0,stable_low_market,,S671090255
41,99.0,34000.0,8686.0,112465.24390243902,831600.0,0.3170731707317073,13600.0,13,99.0,stable_low_market,,4M0698151BL
53,100.0,10368.0,3325.0,522263.320754717,13900000.0,0.2830188679245283,4147.2,15,100.0,stable_low_market,,9GTRONIC
219,100.0,11000.0,4025.0,51979.6803652968,1245000.0,0.2831050228310502,4400.0,62,100.0,stable_low_market,,N63B44TU
276,100.0,4036.5,1318.0,93598.38043478261,9000000.0,0.3115942028985507,1614.6000000000001,86,100.0,stable_low_market,,BMW7-G11
51,200.0,10000.0,2414.5,13831.56862745098,69300.0,0.43137254901960786,4000.0,22,200.0,stable_low_market,,03L131512BB
60,200.0,6455.0,2458.25,6603.216666666666,17160.0,0.2833333333333333,2582.0,17,200.0,stable_low_market,,06K103319A
66,247.0,6583.0,1589.0,9065.363636363636,60671.0,0.3787878787878788,2633.2000000000003,25,247.0,stable_low_market,,A2721800510
88,299.0,6945.0,1342.5,9615.488636363636,160000.0,0.3181818181818182,2778.0,28,299.0,stable_low_market,,058109088K
74,300.0,5999.5,1997.5,7848.959459459459,95000.0,0.32432432432432434,2399.8,24,300.0,stable_low_market,,7P0827505G
24,300.0,28409.5,10996.25,22275.958333333332,43616.0,0.25,11363.800000000001,6,300.0,stable_low_market,,LR029682
52,300.0,2989.0,742.0,3879.5384615384614,9839.0,0.28846153846153844,1195.6000000000001,15,300.0,stable_low_market,,03C109507AD
130,300.0,4500.0,1562.5,5755.530769230769,16961.0,0.3,1800.0,39,300.0,stable_low_market,,4M0127434H
132,360.0,8450.0,1450.0,9169.719696969696,35800.0,0.36363636363636365,3380.0,48,360.0,stable_low_market,,54501JN00B
30,400.0,11687.5,1241.75,10149.266666666666,49200.0,0.3333333333333333,4675.0,10,400.0,stable_low_market,,LR017436
26,407.0,6062.5,2412.5,5604.5,13940.0,0.2692307692307692,2425.0,7,407.0,stable_low_market,,LR016683
157,499.0,8075.0,3000.0,9853.273885350318,96715.0,0.267515923566879,3230.0,42,499.0,stable_low_market,,LR008836
109,500.0,5600.0,2200.0,7413.752293577982,27300.0,0.25688073394495414,2240.0,28,500.0,stable_low_market,,036107065ET
192,500.0,4625.0,1787.5,55729.963541666664,2700001.0,0.265625,1850.0,51,500.0,stable_low_market,,LR156918
58,500.0,5570.0,2000.0,5430.896551724138,15469.0,0.3103448275862069,2228.0,18,500.0,stable_low_market,,A2122406317
78,550.0,6029.5,1232.0,6796.679487179487,24854.0,0.3076923076923077,2411.8,24,550.0,stable_low_market,,LR011219
18,570.0,6350.0,1454.25,9560.333333333334,23100.0,0.4444444444444444,2540.0,8,570.0,stable_low_market,,8K0698151R
